id;name;name_short;gmaps;note;published
1;Post Telekom SV DÃ¼sseldorf 1925 e.V.;Post SV;http://maps.google.de/maps?q=Post+Telekom+SV+D%C3%BCsseldorf+1925+e.V.,+Dreherstr.+213A,+D%C3%BCsseldorf&hl=de&ie=UTF8&ll=51.227179,6.842401&spn=0.006423,0.014377&sll=51.225647,6.7735&sspn=0.051387,0.115013&vpsrc=0&hq=post+telekom+sv+d%C3%BCsseldorf+1925+ev&hnear=Dreherstra%C3%9Fe+213A,+40625+D%C3%BCsseldorf,+Nordrhein-Westfalen&t=m&z=17&iwloc=A;;
2;Heinrich-Heine-UniversitÃ¤t DÃ¼sseldorf, Hochschulsportreferat, Rasenplatz;Uni Rasenplatz;http://maps.google.de/maps?q=heinrich-heine-universit%C3%A4t,+hochschulsportreferat&hl=de&ie=UTF8&ll=51.191757,6.801138&spn=0.006428,0.014377&sll=51.191259,6.79985&sspn=0.006428,0.014377&vpsrc=6&hq=heinrich-heine-universit%C3%A4t,+hochschulsportreferat&t=h&z=17&iwloc=A;Der Rasenplatz der UniversitÃ¤t darf nicht mit Schraubstollen betreten werden.;
3;SG Benrath - Hassels 1910/12 e.V.;Benrath-Hassels;http://maps.google.de/maps?q=Am+Wald+130,+D%C3%BCsseldorf&hl=de&ie=UTF8&ll=51.1737,6.880778&spn=0.006431,0.014377&sll=51.175045,6.882709&sspn=0.00643,0.014377&vpsrc=0&hnear=Am+Wald+130,+40599+D%C3%BCsseldorf,+Nordrhein-Westfalen&t=h&z=17&iwloc=A;;
4;DJK Sparta Bilk e.V. ;Sparta Bilk;http://maps.google.de/maps?q=Sportverein+DJK+Sparta+Bilk+e.V.,+F%C3%A4hrstr.+51,+D%C3%BCsseldorf&hl=de&ie=UTF8&ll=51.206325,6.752397&spn=0.006426,0.014377&sll=51.1737,6.880778&sspn=0.006431,0.014377&vpsrc=0&hq=sportverein+djk+sparta+bilk+ev&hnear=F%C3%A4hrstra%C3%9Fe+51,+40221+D%C3%BCsseldorf,+Nordrhein-Westfalen&t=h&z=17&iwloc=A;;
5;SC 1920 Unterbach e.V.;SC Unterbach;http://maps.google.de/maps?q=SC+Unterbach&hl=de&ll=51.199691,6.914606&spn=0.012854,0.028753&sll=51.168742,6.86594&sspn=0.010118,0.020041&hq=SC+Unterbach&t=h&vpsrc=6&z=16&iwloc=A;;
6;Ludwig-Wolker-Platz, SchwarzbachstraÃŸe 40, Ratingen;Ratingen, TÃ¼rkg.;http://maps.google.de/maps?q=Schwarzbachstra%C3%9Fe+40,+Ratingen&hl=de&ie=UTF8&ll=51.292613,6.857861&spn=0.006414,0.014377&sll=51.292217,6.858033&sspn=0.006414,0.014377&vpsrc=6&gl=de&hnear=Schwarzbachstra%C3%9Fe+40,+40878+Ratingen,+D%C3%BCsseldorf,+Nordrhein-Westfalen&t=h&z=17&iwloc=A;;
7;SV Wersten 04 e.V.;Wersten 04;http://maps.google.de/maps?q=Sportverein+Wersten+04+e.V.+Fu%C3%9Fballabteilung,+Scheideweg+26,+D%C3%BCsseldorf&hl=de&ie=UTF8&ll=51.181852,6.814098&spn=0.006429,0.014377&sll=51.187185,6.824527&sspn=0.012857,0.028753&vpsrc=0&hq=sportverein+wersten+04+ev+fu%C3%9Fballabteilung&hnear=Scheideweg+26,+40591+D%C3%BCsseldorf,+Nordrhein-Westfalen&t=h&z=17;Adresse Parkplatz: Dechenweg 32;
8;Lohausener SV 1920 e.V.;Lohausener SV;http://maps.google.de/maps?q=Lohausener+Sport-Verein+1920+e.V.,+Neusser+Weg+94,+D%C3%BCsseldorf&hl=de&ie=UTF8&ll=51.274374,6.729941&spn=0.006417,0.014377&sll=51.206184,6.752386&sspn=0.025704,0.057507&vpsrc=0&hq=lohausener+sport-verein+1920+ev&hnear=Neusser+Weg+94,+40474+D%C3%BCsseldorf,+Nordrhein-Westfalen&t=h&z=17;;
9;SSV Erkrath 1919 e.V., SportplÃ¤tze Toni-Turek-Stadion, Freiheitsstr. 46;SSV Erkrath;http://maps.google.de/maps?q=Sportpl%C3%A4tze+Toni-Turek-Stadion,+Freiheitstra%C3%9Fe,+Erkrath&hl=de&ie=UTF8&ll=51.223214,6.890799&spn=0.006424,0.014377&sll=51.221293,6.890488&sspn=0.205567,0.460052&vpsrc=6&hq=Sportpl%C3%A4tze+Toni-Turek-Stadion,&hnear=Freiheitstra%C3%9Fe,+40699+Erkrath,+D%C3%BCsseldorf,+Nordrhein-Westfalen&t=h&z=17&iwloc=A;;
10;SV Oberbilk 09 e.V. (ehemals Eintracht 05);SV Oberbilk;http://maps.google.de/maps?q=djk+eintracht+05+e.V.&hl=de&ll=51.206984,6.814892&spn=0.006426,0.014377&sll=51.224195,6.866627&sspn=0.051388,0.115013&vpsrc=6&hq=djk+eintracht+05+e.V.&t=h&z=17&iwloc=A;;
11;TV Grafenberg 1888 e. V.;TV Grafenberg;http://maps.google.de/maps?q=TV+Grafenberg,+Sulzbachstra%C3%9Fe,+D%C3%BCsseldorf&hl=de&ie=UTF8&ll=51.2352,6.83767&spn=0.006422,0.014012&sll=51.151786,10.415039&sspn=25.907926,57.392578&oq=tv+grafenberg&vpsrc=0&hq=TV+Grafenberg,&hnear=Sulzbachstra%C3%9Fe,+40629+D%C3%BCsseldorf,+Nordrhein-Westfalen&t=h&z=17&iwloc=A;;
12;CfR Links 1919 e.V.;CfR Links;http://maps.google.de/maps?q=Pariser+Stra%C3%9Fe+65,+D%C3%BCsseldorf&hl=de&ie=UTF8&ll=51.23258,6.729845&spn=0.006422,0.014012&sll=51.231653,6.735156&sspn=0.012845,0.028024&oq=pariser+st&vpsrc=0&hnear=Pariser+Stra%C3%9Fe+65,+40549+D%C3%BCsseldorf,+Nordrhein-Westfalen&t=h&z=17;;
13;ASV Tiefenbroich 58 e.V.;ASV Tiefenbroich;http://maps.google.de/maps?q=ASV+Tiefenbroich+e.V.,+Ratingen&hl=de&ie=UTF8&ll=51.307223,6.815794&spn=0.012824,0.028024&sll=51.151786,10.415039&sspn=25.907926,57.392578&oq=asv+tiefenbroich&vpsrc=6&hq=asv+tiefenbroich+ev&hnear=Ratingen,+D%C3%BCsseldorf,+Nordrhein-Westfalen&t=h&z=16;;
14;Garather SV 1966 e.V.;Garather SV;http://maps.google.de/maps?q=Koblenzer+Str.+133&hl=de&ie=UTF8&ll=51.147977,6.889844&spn=0.006434,0.014012&sll=51.151786,10.415039&sspn=25.907926,57.392578&vpsrc=0&hnear=Koblenzer+Stra%C3%9Fe+133,+40595+D%C3%BCsseldorf,+Nordrhein-Westfalen&t=h&z=17;;
15;SG DÃ¼sseldorf-Unterrath 1912/24 e.V.;SG Unterrath;http://maps.google.de/maps?q=sg+unterrath&hl=de&ll=51.277569,6.796031&spn=0.012832,0.033023&sll=51.151786,10.415039&sspn=25.907926,67.631836&vpsrc=6&hq=sg+unterrath&t=h&z=16&iwloc=A;;
16;DJK TuSA 06 DÃ¼sseldorf;TuSA 06;http://maps.google.de/maps?q=djk+tusa+06&hl=de&ll=51.193687,6.772642&spn=0.006428,0.016512&sll=50.875311,10.415039&sspn=26.618371,67.631836&t=h&hq=djk+tusa+06&z=17&iwloc=A;;
17;Noch unbekannt;Noch unbekannt;;;
18;S.C. Schwarz-WeiÃŸ 06 e.V.;Schwarz-WeiÃŸ 06;https://maps.google.de/maps?q=Sportclub+Schwarz-Wei%C3%9F+06+e.V.+D%C3%BCsseldorf,+Stoffeler+Kapellenweg,+D%C3%BCsseldorf&hl=de&ie=UTF8&sll=51.234431,6.81435&sspn=0.408865,1.056747&oq=schwarz-wei%C3%9F&t=h&hq=sportclub+schwarz-wei%C3%9F+06+ev&hnear=Stoffeler+Kapellenweg,+40225+D%C3%BCsseldorf,+Nordrhein-Westfalen&z=17;;
19;Heinrich-HÃ¤ck-Stadion;H-H-Stadion;https://maps.google.de/maps?q=Heinrich-H%C3%A4ck-Stadion,+Lichtenberger+Stra%C3%9Fe,+Monheim+am+Rhein&hl=de&ie=UTF8&ll=51.081892,6.888471&spn=0.00641,0.016512&sll=51.2038,6.80396&sspn=0.006393,0.016512&oq=heinrich-h%C3%A4c&t=h&hq=Heinrich-H%C3%A4ck-Stadion,&hnear=Lichtenberger+Stra%C3%9Fe,+40789+Monheim+am+Rhein,+D%C3%BCsseldorf,+Nordrhein-Westfalen&z=17&iwloc=A;;
20;DJK Agon 08 / MSV DÃ¼sseldorf e.V.;Agon;https://maps.google.de/maps?q=Sportverein+AGON+08+e.V.,+Sankt-Franziskus-Stra%C3%9Fe,+D%C3%BCsseldorf&hl=de&ie=UTF8&sll=51.081892,6.888471&sspn=0.00641,0.016512&oq=agon&t=h&hq=sportverein+agon+08+ev&hnear=Sankt-Franziskus-Stra%C3%9Fe,+D%C3%BCsseldorf,+Nordrhein-Westfalen&z=17&iwloc=A;;
21;A.C. Italia Hilden e.V.;Italia Hilden;https://www.google.de/maps/place/Sch%C3%BCtzenstra%C3%9Fe+16,+40723+Hilden/@51.1630733,6.932046,801m/data=!3m1!1e3!4m2!3m1!1s0x47b8cd67fbf14ded:0xa8dde57aa02fa96d;;
22;TSV Eller 04 e.V.;Eller 04;https://maps.google.de/maps?q=Vennhauser+Allee+129,+D%C3%BCsseldorf&hl=de&ie=UTF8&ll=51.204887,6.855565&spn=0.006393,0.016512&sll=51.208087,6.861155&sspn=0.006392,0.016512&oq=vennhaus&t=h&hnear=Vennhauser+Allee+129,+40627+D%C3%BCsseldorf,+Nordrhein-Westfalen&z=17&iwloc=A;;
23;Bezirkssportanlage Baumberg;BSA Baumberg;https://maps.google.de/maps?q=Grazer+Stra%C3%9Fe,+Baumberg,+Monheim+am+Rhein&hl=de&ie=UTF8&ll=51.118677,6.906463&spn=0.006405,0.016512&sll=51.118772,6.903641&sspn=0.012809,0.033023&oq=grazer+stra%C3%9Fe+baumber&t=h&hnear=Grazer+Stra%C3%9Fe,+Baumberg+40789+Monheim+am+Rhein,+D%C3%BCsseldorf,+Nordrhein-Westfalen&z=17;Grazer StraÃŸe ganz durchfahren;
24;DJK Sport Club Flingern 08 e.V.;SC Flingern;https://maps.google.de/maps?q=sc+flingern&hl=de&ll=51.22613,6.830041&spn=0.007377,0.021136&sll=51.238455,6.81435&sspn=0.236012,0.676346&t=h&hq=sc+flingern&z=16&iwloc=A;;
25;DJK SV Eintracht 05 (jetzt SV Oberbilk 09);Eintracht 05;;;
26;DÃ¼sseldorfer Sportverein 04 Lierenfeld e.V.;DSV 04;https://www.google.de/maps?q=Wilhelm-Heinrich-Weg+2,+D%C3%BCsseldorf&ie=UTF8&sll=51.21350330000005,6.832295000000015&sspn=0.007124942558220846,0.020602245827329536&t=m&dg=opt&hnear=Wilhelm-Heinrich-Weg+2,+Stadtbezirke+08+40231+D%C3%BCsseldorf&z=16&iwloc=A;;
27;GrÃ¼n-WeiÃŸ-Rot 1930 e.V. DÃ¼sseldorf;GrÃ¼n-WeiÃŸ-Rot;https://www.google.de/maps/preview#!data=!1m4!1m3!1d2461!2d6.7699563!3d51.1929564!4m12!2m11!1m10!1s0x0%3A0x5911a78ca1fc7a76!3m8!1m3!1d1273698!2d7.6639887!3d51.4270853!3m2!1i1024!2i768!4f13.1;;
28;FC BÃ¼derich 02 e.V.;BÃ¼derich;https://www.google.de/maps/preview#!q=Am+Eisenbrand+45%2C+Meerbusch&data=!1m4!1m3!1d9990!2d6.674795!3d51.246524!2m1!1e3!4m15!2m14!1m13!1s0x47b8b6a1fba2bd49%3A0x24619ce13f24701a!3m8!1m3!1d20008!2d6.813755!3d51.183029!3m2!1i1024!2i768!4f13.1!4m2!3d51.2457873!4d6.6753238&fid=7;;
29;Schulsportplatz Am Kikweg;Kikweg;https://www.google.de/maps/preview#!q=schulsportplatz+am+kikweg&data=!4m15!2m14!1m13!1s0x47b8cc790ed63b05%3A0xe85e117b09145dcf!3m8!1m3!1d220652!2d6.8143501!3d51.2384547!3m2!1i1920!2i1060!4f13.1!4m2!3d51.196605!4d6.854131;;
30;Sportpark Niederheid;Sportpark Niederheid;https://www.google.de/maps/place/Sportpark+Niederheid/@51.170099,6.852784,17z/data=!4m7!1m4!3m3!1s0x47b8cc98554ea9cf:0x829d0cef8dcd96f3!2sSportpark+Niederheid!3b1!3m1!1s0x0:0xb2eccb7a04c966d4;;
31;DjK Sportfreunde Gerresheim 1923 e.V.;Gerresheim;https://www.google.de/maps/place/DJK+Sportfreunde+Gerresheim+1923+e.V./@51.2319873,6.8507614,16z/data=!4m6!1m3!3m2!1s0x47b8c9550d05980d:0xe0522b1165a35e04!2sDJK+Sportfreunde+Gerresheim+1923+e.V.!3m1!1s0x47b8c9550d05980d:0xe0522b1165a35e04;;
32;SV Hilden-Nord 1964 e.V.;Hilden-Nord;https://www.google.de/maps/place/SV+Hilden-Nord+1964+e.V./@51.1858873,6.9299751,17z/data=!3m1!4b1!4m2!3m1!1s0x47b8cd9e7abe864b:0x2a6e47ffbec3e9f6?hl=de;;
33;Sportring Eller 1892 e.V.;Eller;https://www.google.de/maps/place/Gastst%C3%A4tte+%22Sportring+Eller%22/@51.2111703,6.8408296,15z/data=!4m5!3m4!1s0x0:0xd4d02ba59f366620!8m2!3d51.2111703!4d6.8408296;;
34;TuS DÃ¼sseldorf-Nord e.V.;TuS Nord;https://goo.gl/maps/4r3yoYYCNHx;;
35;Bezirkssportanlage Grazer StraÃŸe (SF Baumberg);Baumberg;https://goo.gl/maps/MGcKUyvnpLy;;
